directory,scenario,policy,state,ranking_eligible,violations,invalid,violation_reasons,min_soc_kwh,max_soc_kwh,max_abs_dispatch_kw,energy_residual_kwh,export_kwh,import_kwh,load_kwh,max_loading,max_power_residual_pu,max_voltage_pu,min_voltage_pu,network_loss_kwh,peak_import_kw,solar_kwh,storage_delta_kwh,storage_loss_kwh,total_loss_kwh
confirmation/batch-05/case-000,confirmation seed=53 scale=0.85,storage_loss,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,4.98221464084736e-11,245.21118676643988,675.1915270752653,1085.2222358249996,0.8672278530129947,6.209146892354131e-11,1.0100940865758838,0.9889534911864977,6.234555483775639,75.55890600130851,662.2564509999997,0.0,0.7799999999999996,7.014555483775639
confirmation/batch-05/case-000,confirmation seed=53 scale=0.85,storage_peak,COMPLETED_VALID,True,0,0,,40.0,70.4,8,8.133671514087837e-11,221.45387835105822,653.2182533926041,1085.2222358249996,0.8079451224191082,5.826922456083465e-11,1.0097439166011226,0.9892878852002568,5.678590216464675,70.04994075166164,662.2564509999997,7.105427357601002e-15,3.1199999999999983,8.798590216464675
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,baseline,COMPLETED_INFEASIBLE,False,6,0,branch 0-1 current loading,40.0,40.0,0.0,5.611511255665391e-11,203.54319601618062,825.7766024421256,1276.7320419500008,1.045543207850872,5.933655404496739e-11,1.0093233156454686,0.9862086149428978,7.757815475887856,91.21185019320413,662.2564509999997,0.0,0.0,7.757815475887856
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,tap_m2,COMPLETED_INFEASIBLE,False,6,0,branch 0-1 current loading,40.0,40.0,0.0,4.2014391965494724e-11,203.49411356754413,825.9271452289745,1276.7320419500008,1.059103951082682,4.643984737405002e-11,0.9969384931550378,0.9735293693297857,7.957440711387385,91.23792246691802,662.2564509999997,0.0,0.0,7.957440711387385
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,tap_p2,COMPLETED_INFEASIBLE,False,4,0,branch 0-1 current loading,40.0,40.0,0.0,4.814193488300589e-11,203.59050315803506,825.6317289549003,1276.7320419500008,1.0323293902911428,5.2286893541002265e-11,1.021710882759118,0.9988832613513277,7.565634846815844,91.18676886671186,662.2564509999997,0.0,0.0,7.565634846815844
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,tap_p4,COMPLETED_INFEASIBLE,False,4,0,branch 0-1 current loading,40.0,40.0,0.0,3.775024737251442e-11,203.63611924534737,825.492242065688,1276.7320419500008,1.0194492031977853,4.617446264338624e-11,1.0341010986852264,1.011553485469669,7.380531870301859,91.16262851514738,662.2564509999997,0.0,0.0,7.380531870301859
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,combined_loss,COMPLETED_VALID,False,0,0,,40.0,47.60000000000002,2,3.485101096600829e-11,195.73851393861486,818.1310067787698,1276.7320419500008,0.999996808449277,5.4899863176113574e-11,1.033987199470974,1.012200888236597,7.136901890119044,89.31666594618494,662.2564509999997,0.0,0.7799999999999996,7.9169018901190435
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,combined_peak,COMPLETED_VALID,False,0,0,,40.0,70.4,8,3.3510083596866025e-11,173.90421008755987,798.0786365498653,1276.7320419500008,0.9419513623388659,5.209217210509599e-11,1.0336442769754082,1.0126132715752618,6.5788355122708975,83.79296397660106,662.2564509999997,7.105427357601002e-15,3.1199999999999983,9.698835512270897
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,storage_loss,COMPLETED_INFEASIBLE,False,4,0,branch 0-1 current loading,40.0,47.60000000000002,2,5.115263768118439e-11,195.6506629464947,818.4079744349276,1276.7320419500008,1.025578518774492,4.884128711844679e-11,1.0092067283239177,0.9868729256068808,7.501720538380803,89.36373469047005,662.2564509999997,0.0,0.7799999999999996,8.281720538380803
confirmation/batch-05/case-001,confirmation seed=53 scale=1.0,storage_peak,COMPLETED_VALID,False,0,0,,40.0,70.4,8,3.207123455695182e-11,173.827437822007,798.3380464079696,1276.7320419500008,0.9660130459627737,4.390074245665099e-11,1.0088556503922927,0.9872962913181771,6.91501763592929,83.83433641656191,662.2564509999997,7.105427357601002e-15,3.1199999999999983,10.03501763592929
